Gene ID	Gene name	Tissue	TPM	pTPM	nTPM
ENSG00000170558	CDH2	cerebral cortex	17	20.9	21.4
ENSG00000170558	CDH2	hippocampus	9.3	11.7	16.1
ENSG00000170558	CDH2	hypothalamus	14	17.5	18.5
ENSG00000170558	CDH2	nucleus accumbens	11.7	14.6	18
ENSG00000170558	CDH2	pituitary gland	9.4	12.1	8.1
ENSG00000170558	CDH2	putamen	8.3	10.2	16
ENSG00000170558	CDH2	retina	85.2	116.3	60.3
ENSG00000170558	CDH2	spinal cord	6.5	8.2	9.2
ENSG00000170558	CDH2	substantia nigra	7.1	8.9	12.4
ENSG00000140937	CDH11	amygdala	4.9	6.2	8.6
ENSG00000140937	CDH11	caudate	8.1	10	12.6
ENSG00000140937	CDH11	cerebellum	4.5	6.1	4.3
ENSG00000140937	CDH11	cerebral cortex	5.7	7	8.1
ENSG00000140937	CDH11	hippocampus	5	6.3	8.7
ENSG00000140937	CDH11	hypothalamus	5.7	7.1	7.8
ENSG00000140937	CDH11	nucleus accumbens	8	10.1	11.6
ENSG00000140937	CDH11	pituitary gland	11.8	15.2	10.4
ENSG00000140937	CDH11	putamen	6.6	8.1	11.7
ENSG00000140937	CDH11	retina	19.7	26.9	14
ENSG00000140937	CDH11	spinal cord	9.8	12.3	13.5
ENSG00000140937	CDH11	substantia nigra	5.3	6.5	8.8
ENSG00000156453	PCDH1	amygdala	6.5	8.2	11.1
ENSG00000156453	PCDH1	caudate	7.2	8.9	11.3
ENSG00000156453	PCDH1	cerebellum	19.3	26	18
ENSG00000156453	PCDH1	cerebral cortex	14.5	17.8	19.4
ENSG00000156453	PCDH1	hippocampus	7.7	9.6	13.1
ENSG00000156453	PCDH1	hypothalamus	6.8	8.5	9.6
ENSG00000156453	PCDH1	nucleus accumbens	9.5	11.9	13.9
ENSG00000156453	PCDH1	pituitary gland	7.1	9.1	6.5
ENSG00000156453	PCDH1	putamen	6.4	7.9	11.5
ENSG00000156453	PCDH1	retina	4.8	6.6	3.4
ENSG00000156453	PCDH1	spinal cord	6.9	8.7	10
ENSG00000156453	PCDH1	substantia nigra	5.5	6.9	9.8
ENSG00000184226	PCDH9	amygdala	12.6	15.8	23.3
ENSG00000184226	PCDH9	caudate	11.2	13.7	18.8
ENSG00000184226	PCDH9	cerebellum	5.8	7.8	5.5
